Timestamp,Nama,Apakah kamu memiliki akun Facebook?,Seberapa sering kamu menggunakan Facebook dalam seminggu? ,Untuk apa kamu paling sering menggunakan Facebook? ,Apakah kamu merasa Facebook masih relevan saat ini? ,Seberapa puas kamu dengan fitur-fitur yang ada di Facebook? ,Seberapa aman kamu merasa saat menggunakan Facebook? ,"Akhir dari survey ini, bagaimana dengan hari kalian?(optional jika ingin di isi :D )"
04/07/2025 23:37:43,satria,Ya,Setiap hari,Melihat postingan lucu(meme),Cukup relevan,3,1,ðŸ¥€ðŸ¥€
04/07/2025 23:40:13,chz,Ya,Setiap hari,Bergabung di grup komunitas,Sangat relevan,5,5,
04/07/2025 23:46:59,adit,Ya,Jarang,Melihat postingan lucu(meme),Cukup relevan,3,3,baik kaka 
04/07/2025 23:54:26,yoww,Ya,Setiap hari,Melihat postingan lucu(meme),Cukup relevan,3,4,kalah rate off lupa njir ðŸ˜žðŸ¥€ðŸ¥€
05/07/2025 0:03:54,Qyak,Ya,Jarang,Melihat postingan lucu(meme),Cukup relevan,3,3,"Good, ty for asking"
05/07/2025 0:33:03,Heykal,Ya,Setiap hari,Melihat postingan lucu(meme),Cukup relevan,5,4,"Ok, Sih."
05/07/2025 0:38:40,Lionel Joshua Timothy ,Ya,3â€“5 kali seminggu,Melihat postingan lucu(meme),Cukup relevan,4,4,Ya baik baik saja 
05/07/2025 1:51:42,Rafka Pratama ,Ya,Setiap hari,Bergabung di grup komunitas,Sangat relevan,5,3,
05/07/2025 2:02:00,Rafsan,Ya,Jarang,Melihat postingan lucu(meme),Cukup relevan,4,3,"Buruk,stress"
05/07/2025 2:04:34,Nonem,Ya,3â€“5 kali seminggu,Melihat postingan lucu(meme),Sangat relevan,3,3,
05/07/2025 6:46:51,kamil,Ya,Jarang,Melihat postingan lucu(meme),Cukup relevan,3,4,alhamdulilah